Region number,region,value
47.0,Lateral ventricle temporal horn R,1.7106437511468574e-05
1.0,TL hippocampus R,9.89101034994793e-06
15.0,TL fusiform gyrus R,9.621236161445012e-06
35.0,caudate nucleus R,8.328145588941296e-06
16.0,TL fusiform gyrus L,5.613928727309015e-06
4.0,TL amygdala L,5.239829745122923e-06
3.0,TL amygdala R,4.465140132705e-06
50.0,FL precentral gyrus L,3.929006099435133e-06
53.0,FL straight gyrus R,3.3654126426787274e-06
60.0,PL postcentral gyrus L,3.330361212390759e-06
